,Name,Genre,AE_Mean,AE_Std,RMS_Mean,RMS_Std,ZCR_Mean,ZCR_Std,BER_Mean,BER_Std,SC_Mean,SC_Std,BW_Mean,BW_Std,MFCC0_Mean,MFCC0_Std,MFCC1_Mean,MFCC1_Std,MFCC2_Mean,MFCC2_Std,MFCC3_Mean,MFCC3_Std,MFCC4_Mean,MFCC4_Std,MFCC5_Mean,MFCC5_Std,MFCC6_Mean,MFCC6_Std,MFCC7_Mean,MFCC7_Std,MFCC8_Mean,MFCC8_Std,MFCC9_Mean,MFCC9_Std,MFCC10_Mean,MFCC10_Std,MFCC11_Mean,MFCC11_Std,MFCC12_Mean,MFCC12_Std
156,03 Hail to the King.mp4,metal,0.5032623,0.14794676,0.16892737,0.050274704,0.1583979843387471,0.047452795437396424,5.049927,4.8733597,2846.3814914184018,458.3718252772804,2489.193648647213,219.212850567326,-18.621233,29.562674,65.40789,14.10679,-21.625359,11.619194,37.41274,10.288718,-8.29441,9.027678,16.198626,7.910436,0.91663796,9.5701475,10.895136,6.7622123,-0.90637404,8.272315,14.594564,7.208699,-4.4522557,7.2173448,11.49269,6.035212,-6.6454105,5.506597
157,03 Coming Undone.mp4,metal,0.6986476,0.24276447,0.24847417,0.120131515,0.14476689385150812,0.057843003755338254,8.770724,17.542343,2514.8571796636056,539.6649450934485,2261.5228752997436,344.24240604628875,-0.51163,55.730083,79.89383,20.10872,-32.93481,20.536932,45.84676,17.558065,2.4370518,11.296308,17.85459,8.599012,3.703786,9.739715,9.021542,7.5273848,3.4617918,8.161236,9.541916,7.448756,0.44518673,7.601897,11.5553465,5.95524,-8.070424,7.3108034
158,03 I Hate Everything About You.mp4,metal,0.7122351,0.15090084,0.27098477,0.061844073,0.07955774482791957,0.03438653236102875,29.701765,28.250393,1850.3659622153427,506.7758997238031,2138.611433299751,366.92781242325526,-17.300524,31.792698,112.30406,22.707088,-15.429457,13.730348,40.164032,11.988681,-0.6373993,8.641943,13.917721,8.13164,-3.1786618,8.43781,13.415301,7.285937,1.223724,8.0824795,9.844505,6.6370625,-2.2673168,6.414965,11.158738,5.592541,-5.140882,6.194091
159,03 Can't Stop.mp4,metal,0.7055324,0.18122078,0.2575667,0.07617773,0.1479556385344161,0.09078837523471919,10.866176,20.358248,2729.8892687233883,869.5803029455537,2468.5277531077213,337.1433454620939,-2.624328,45.88325,67.995155,28.700882,-16.695328,17.803036,35.091152,13.147282,4.0330367,11.545923,13.873406,9.696235,-7.689447,9.642857,14.911251,8.443751,-6.0108705,8.085868,12.011462,8.131372,-1.8800197,7.8135448,8.080125,6.9554844,-9.304665,7.301075
160,03 How You Remind Me.mp4,metal,0.36378148,0.07651146,0.1263056,0.029976983,0.13673989752513535,0.036640364584925735,6.737872,5.217024,2605.913622332811,393.3572500494531,2471.7707331918978,243.80433185911724,-52.160843,22.543741,74.34757,14.81876,-23.46012,13.747501,36.11853,11.262398,6.733713,9.810299,19.173613,7.515458,-2.325301,8.8090725,15.971907,6.7936954,-2.7003145,6.5594707,14.563605,6.67813,-3.073316,6.983477,8.676542,6.2106013,-4.2251987,5.28235
161,03 Custer.mp4,metal,0.9367107,0.10118456,0.377953,0.084477626,0.11713765226218098,0.03625168031084125,10.116112,8.191501,2492.5983860153115,424.11939924072567,2476.493566836513,252.73149186291883,52.42172,29.014528,82.28791,14.922755,-15.194477,13.581621,37.5356,12.508842,1.4117082,10.546196,19.033817,5.7553425,-5.397538,9.170728,12.461213,7.3825665,-4.3832183,6.2612867,11.652951,7.135024,-4.1088533,6.1601963,13.836455,5.69535,-6.2544937,6.0606465
162,03 Dani California.mp4,metal,0.7064044,0.1853155,0.2504489,0.09160517,0.09417446104021655,0.04170597279758912,32.211872,47.763714,2209.8970755317278,499.7737100226236,2497.4288622492886,212.8442225185539,-31.978382,53.323654,82.58804,17.423313,5.2944922,14.011731,48.832638,12.512126,3.7527964,10.993869,23.242826,7.7213235,-8.549055,8.910019,15.222074,7.6211715,-7.3631997,8.947015,10.125717,8.103411,-4.854415,8.624247,7.1703916,7.072273,-5.0403686,6.9992976
163,03 In the End.mp4,metal,0.83404166,0.11708615,0.32124308,0.07026131,0.12622731172660479,0.044750947350210755,10.100114,13.952663,2318.661484955743,491.2585679954579,2255.5489429414583,284.6681542752069,35.789497,33.0733,91.99292,20.075655,-28.017534,14.3681,33.177998,12.658512,-0.5642812,11.053056,11.406875,7.7651715,-7.6451077,8.583478,14.699185,6.556439,3.4003053,7.4892135,12.104445,6.497287,-2.9349148,5.741422,10.290473,5.821204,-4.7991757,5.859304
164,03 Fake It.mp4,metal,0.66439587,0.30443347,0.29607442,0.19956787,0.07701324439288476,0.06807033878745332,864.10345,2991.7148,1790.270470686513,1004.2732602935207,2020.7187834915774,574.1641716049218,-77.73384,79.68051,102.036156,41.66283,-12.1507,20.443405,27.686274,18.462847,0.108820535,17.68538,9.85542,15.831618,-1.4905645,15.448949,9.1788645,10.822205,-3.4424002,10.315238,4.9023533,9.907922,-6.4798255,10.790066,5.880026,7.9421296,-5.3757463,9.327021
165,03 Kryptonite.mp4,metal,0.74518585,0.16018842,0.27431488,0.07679943,0.11080019214037123,0.06051601756527167,16.77599,23.557352,2389.1829941916108,694.1479907759256,2491.9474191023337,362.9206246465464,-6.122805,32.517876,85.65406,19.306824,-2.1894083,17.374403,43.12223,15.953317,3.0803807,9.963585,16.629387,8.038786,-6.126286,8.131619,14.718634,8.490061,-11.710448,8.130208,8.941003,6.6360235,-3.9640424,6.9272656,11.621423,6.386958,-4.620523,6.5407925
